Company,Link,Logo,Pitch,Joined,Location,Market,Website,Employees,Stage,Funding Raised
Kijiji Kids,https://angel.co/company/kijiji-kids,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/398097-c9852c101d07c4386668a4ba80804ae9-medium_jpg.jpg?buster=1400060447",Financial independence to teenage mothers.,May ’14,Nairobi,Social Entrepreneurship,Website,-,-,-
Wardrobe,https://angel.co/company/wardrobe,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/431916-c173427f5052d12a7a1fc786460b7330-medium_jpg.jpg?buster=1446389196",Wardrobe has brought the entire world of fashion—high and low—online.,Jul ’14,Nairobi,Mobile Commerce,wardrobe.co.ke,1-10,-,-
Shopa,https://angel.co/company/useshopa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/505917-6a984acff2ba43d1b17a8b6b6de9253d-medium_jpg.jpg?buster=1454504780",Anything Delivered!,Oct ’14,Nairobi,Shopping,shopa.co.ke,1-10,Seed,"$5,000"
Two4one App,https://angel.co/company/two4one-app,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/516816-cdea13d3abb38ad1f788d5faf004bbe5-medium_jpg.jpg?buster=1458900048","The most innovative, Coalitions Loyalty Program and E-voucher App.",Oct ’14,Kenya,Hospitality,bit.ly,1-10,-,-
mTunza,https://angel.co/company/mtunza,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/567458-05a986c7d24c582aaad7260004faef52-medium_jpg.jpg?buster=1420119021",A repository of business resources and tools (startupstash for East African SMEs),Jan ’15,Nairobi,Small and Medium Businesses,mtunza.com,1-10,-,-
Profitfxkenya,https://angel.co/company/profitfxkenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/589883-66313f5c58a23b13315e19b42794c543-medium_jpg.jpg?buster=1422263004","Best way to make money in the forex market, our philisophy is we trade you ern",Feb ’15,Kenya,Insurance Companies,profitfxkenya.co.ke,51-200,-,-
Mobidawa,https://angel.co/company/mobidawa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/591174-c6f252b47939540f881ff4897d205aa3-medium_jpg.jpg?buster=1422735812",Medication aderence app for Africa.,Feb ’15,Nairobi,mHealth,mobidawa.com,,-,-
InsureAfrika.com,https://angel.co/company/insureafrika-com,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/702250-85f49aea9bf7c0ca29ae0d39719a1f54-medium_jpg.jpg?buster=1431968866",Online Shopping for Insurance in Kenya,May ’15,Kenya,Insurance,insureafrika.com,,-,-
Farasi Motors,https://angel.co/company/farasi-motors,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/949388-ec67dcf750d3912e42cc19fc4efc0ad2-medium_jpg.jpg?buster=1452330821",A platform that connects vehicle sellers with buyers in the East African region.,Dec ’15,Busia,Automotive,farasimotors.co.ke,1-10,-,-
Kenya Green Supply,https://angel.co/company/kenya-green-supply-2,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1874237-3e3d17abafbdf593c5c3ddcd1d36b2c0-medium_jpg.jpg?buster=1471603992",Solar Home System (Solar),Aug ’16,Nairobi,Retail Technology,kenyagreensupply.com,1-10,-,-
LIVELUVO,https://angel.co/company/liveluvo-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/2036434-28d380a8a6df90489c620900ab6f23ee-medium_jpg.jpg?buster=1472564451",Digitise the informal economy in the developing world.,Aug ’16,Nairobi,Android,luvo.co,1-10,-,-
Connta,https://angel.co/company/connta,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://angel.co/images/shared/nopic_startup.png",,Apr ’17,Nairobi,-,connta.com,,-,-
Ghafla!,https://angel.co/company/ghafla,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/66594-1c3374a8e8cfc38660c8dfe5f6ec4b7f-medium_jpg.jpg?buster=1340697761",Ghafla! is like what would happen if MTV.com and iTunes had a baby.,Jun ’12,Nairobi,Entertainment Industry,ghafla.co.ke,-,-,-
uhired.me,https://angel.co/company/uhired-me,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/83379-193ca0bcbf25e285192952a0a11f67f8-medium_jpg.jpg?buster=1361464131","Recruitment made social,easy and fun.",Apr ’12,Nairobi,Q&A,uhired.me,1-10,-,-
VALURAHA,https://angel.co/company/valuraha,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/339998-facbc6bdecfaea13ed674e5259e916d8-medium_jpg.jpg?buster=1396910406",Wall street Survivor for East Africa,Feb ’14,Nairobi,Educational Games,valuraha.com,1-10,-,-
KejaHunt,https://angel.co/company/kejahunt,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/373845-56e99be1878d6839e8a8ab0eff4f56ff-medium_jpg.jpg?buster=1396617646",Personalized house hunts,Apr ’14,Nairobi,ICT,kejahunt.com,1-10,-,-
Endian,https://angel.co/company/endian,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/396547-7e1583af4e1c9f59f370dab0739b70ae-medium_jpg.jpg?buster=1425043245",Shopping,Feb ’15,Nairobi,Marketplaces,example.com,1-10,-,-
Customer Bora,https://angel.co/company/customer-bora,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/479969-5273e7cddc059d584e9db9f7ddc1e26b-medium_jpg.jpg?buster=1409829623",Trash Bank,Sep ’14,Nairobi,Environmental Innovation,customerbora.com,-,-,-
RecoMed,https://angel.co/company/recomed,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://angel.co/images/shared/nopic_startup.png",Doctor booking appointment platform for Africa,Sep ’14,Gaborone,Insurance,recomed.com,11-50,-,-
Trine,https://angel.co/company/trine,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/672979-40990e555f41eca8f2e00a9d805772df-medium_jpg.jpg?buster=1564647381",Financing solar energy through retail investments,Aug ’15,Göteborg,Impact Investing,trine.com,11-50,Series A,"€7,321,270"
African Startup Jobs,https://angel.co/company/african-startup-jobs,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/715723-c04d2e64b23cb40ba30a0a759fea309b-medium_jpg.jpg?buster=1433052263",Jobs for African Startups,May ’15,Nairobi,Startups,africanstartupjobs.com,1-10,-,-
Wemara,https://angel.co/company/wemara,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/817505-25d638931b30185e054f5a36783e7e23-medium_jpg.jpg?buster=1440937165",Premier Africa Diaspora Networking platform,Aug ’15,Boston,Forums,wemara.com,,-,-
Grafica,https://angel.co/company/grafica-2,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/948394-02f4ad477b6bb80388a7c792bc4d6095-medium_jpg.jpg?buster=1450695882",CRM and Data Technology for Solar distributors in Emerging Markets,Dec ’15,San Francisco,Finance Technology,grafica.io,1-10,-,-
Proolabs,https://angel.co/company/proolabs,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/958480-6fe49edf3840c2571de8ef3f015abc3f-medium_jpg.jpg?buster=1451539851",fighting mobile money fraud with machine learning solution (PROO SAFE),Dec ’15,Nairobi,East Africa,proolabs.com,1-10,-,-
ImagineIT Enterprises,https://angel.co/company/imagineit-enterprises,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/965401-7093dbb3f08165881ad31383ca4a9b4e-medium_jpg.jpg?buster=1452075784",Your app in need,Jan ’16,Kenya,Mobile Health,hema.co.ke,-,-,-
Oliza,https://angel.co/company/oliza,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/971484-43027ead4ff363cbf49007cc2a65b69f-medium_jpg.jpg?buster=1452849836",Hyperlocal Search and Marketplace Products for African markets,Jan ’16,Nairobi,Mobile Commerce,oliza.co,1-10,-,-
SteamaCo,https://angel.co/company/steamaco-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1046955-3159a3d9a4cd696a37784f8d0093e04a-medium_jpg.jpg?buster=1457437298",Connect the frontier,Mar ’16,Kisumu,Emerging Markets,steama.co,11-50,-,-
LOVICA,https://angel.co/company/lovica,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1347437-2bfde5b3e1dbaeb66171b6df39504026-medium_jpg.jpg?buster=1468052170",Speed Healthcare Services,Nov ’16,Kenya,Caregivers,lovicacare.com,1-10,-,-
Ocharge,https://angel.co/company/ocharge,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1876459-7585bc48de6cd8c04c90ce6b2b7c3473-medium_jpg.jpg?buster=1533133716",Payments network with the best rewards,Aug ’16,Nairobi,Mobile Payments,ocharge.co.ke,11-50,-,-
Ongair,https://angel.co/company/ongairim,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/2170592-1861bfedd1fe8cd62bd87f56ad4b804a-medium_jpg.jpg?buster=1477491333",A CRM for chat bots and agents,Oct ’16,Hong Kong,Customer Service,ongair.im,11-50,Seed,"$175,000"
Patahapa Web Solutions,https://angel.co/company/patahapa-web-solutions-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/2324760-a7ac8a9d411065925ba54b1ec31c4f6e-medium_jpg.jpg?buster=1474070765","Web Development, E-Commerce, Online Marketing",Sep ’16,Nairobi,Brand Marketing,patahapawebsolutions.co.ke,-,-,-
Iris Management,https://angel.co/company/iris-management-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3342077-054e4330260097fa19d8063cb46c57f2-medium_jpg.jpg?buster=1483809987",Health & Wellness Empowerment Information,Jan ’17,Nairobi,Fitness,healthfestival.co.ke,1-10,-,-
The Able Wireless Company,https://angel.co/company/the-able-wireless-company,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/243348-6e10a42fecb2d5576f2c4f3093f6d093-medium_jpg.jpg?buster=1375420678",Roku of Africa,Aug ’13,Nairobi,Internet TV,ablehq.co.ke,-,-,-
MapJam,https://angel.co/company/mapjam,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/320025-6b689aa11a22d057677a2bfb32ec405c-medium_jpg.jpg?buster=1389217464",musical instrument sharing and learning,Jan ’14,Kenya,Performing Arts,mapjam.co.ke,1-10,-,-
Wallenje,https://angel.co/company/wallenje-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/344974-7e1f91776111ed3d254f6a986360eb07-medium_jpg.jpg?buster=1407304965",Your wallet in your phone,Feb ’14,Nairobi,Mobile Commerce,wallenje.com,1-10,-,-
MARAMOJA transport,https://angel.co/company/maramoja-transport,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/346130-188b375b367fdc4620e6a1dd11db5355-medium_jpg.jpg?buster=1392847984",Trust-powered taxi app,Jul ’14,Nairobi,Reputation,maramoja.co.ke,1-10,-,-
Tunnel Lab,https://angel.co/company/tunnel-lab,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/361122-3790eb946ec3cafde45443451e9bebfe-medium_jpg.jpg?buster=1394917554",Innovation tech school in rural Africa,Mar ’14,Kenya,Innovation Engineering,tunnellab.org,-,-,-
OpenBuild,https://angel.co/company/openbuild,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/395001-f9b4c9e3702431419101764661fc5170-medium_jpg.jpg?buster=1452961834","Open Source software, builder spaces and STEM education",May ’14,Portland,Governments,open.build,1-10,-,-
Duka,https://angel.co/company/duka_io,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/529313-68c1817b7225055b1cd4533964d5486f-medium_jpg.jpg?buster=1482330237",Simple accounting app for small businesses in emerging markets,Nov ’14,Nairobi,Loyalty Programs,duka.io,1-10,-,-
Valuraha Group,https://angel.co/company/valuraha-group,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/748011-382efd9fbf627e473af56b44d5414bec-medium_jpg.jpg?buster=1435692391",Wall Street Survivor for Africa,Jun ’15,Nairobi,University Students,valuraha.com,-,-,-
Abacus,https://angel.co/company/abacus-2,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/758285-b19ce8f6760f18fefeac546f8e1353d2-medium_jpg.jpg?buster=1436526831",African Financial Data and News (Bloomberg),Jul ’15,Nairobi,Invest Online,abacus.co.ke,-,-,-
SocialHart,https://angel.co/company/socialhart,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/763040-14f6cb1f2110d821942a7f51eda9c0b5-medium_jpg.jpg?buster=1436953216",Where Celebrities enable the meeting between Brands & their Fans,Jul ’15,Mumias,Entertainment Industry,socialhart.com,-,-,-
Webspace,https://angel.co/company/webspace,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/782432-60d4e298c20320c1f094886f3bc7c312-medium_jpg.jpg?buster=1438599713",The Rackspace of Africa,Aug ’15,Kigali,Cloud Infrastructure,webspace.co.rw,,-,-
Mobineo,https://angel.co/company/mobineo,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/960976-cb25e7ae098e6cf6b3fed8ccdfaed48f-medium_jpg.jpg?buster=1526689999",Software Tools for Land Surveyors and Adminstrators,Jan ’16,Minneapolis,Emerging Markets,mobineo.tech,1-10,-,-
APRELLEDUANY,https://angel.co/company/aprelleduany,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/968497-47074a3a2474f2a11ce5c1bb01b3765c-medium_jpg.jpg?buster=1453110714","Investment pieces designed to inspire: Expanding Luxury, Elevating Africa.",Jan ’16,Nairobi,Technology,APRELLEDUANY.com,1-10,-,-
Node Africa,https://angel.co/company/node-africa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1050186-8d0e56a0297ae063a64f96bfb30a5ece-medium_jpg.jpg?buster=1457624227",Reliable and Secure Cloud for Africa,Mar ’16,Nairobi,IaaS,nodeafrica.com,,-,-
The Orion M-Chapaa,https://angel.co/company/the-orion-m-chapaa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1094741-7d66e0a4acb2940f3849a78af90d21b3-medium_jpg.jpg?buster=1460588693",A Fin-tech Disruptive Cash Transfer Platform for Africa,Apr ’16,Nairobi,Application Platforms,theorion.co.ke,-,-,-
Saiba,https://angel.co/company/saiba,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1128492-4bac61901effcc8ea1c9b87435c736d1-medium_jpg.jpg?buster=1466540610",Smart Mobile Money and Financial Services for Africa,Jul ’16,Kenya,Mobile Payments,saiba.co.ke,1-10,Seed,"$500,000"
FPESA,https://angel.co/company/fpesa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1704682-351eef831abdd6aadfed769ecdd6327f-medium_jpg.jpg?buster=1470311507",Saves African SME's time changing money.,Aug ’16,Kenya,Finance Technology,fpesa.co.ke,-,-,-
PlusX,https://angel.co/company/klevaplus,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3251114-032d42737202770017a874acb6019600-medium_jpg.jpg?buster=1533678973",Simple business management,Dec ’16,San Francisco,Fin Tech,getplusx.com,1-10,-,-
Solidus,https://angel.co/company/solidus-bermuda,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3741143-1e00c6d2c50ebfa7cf742843e8a981ee-medium_jpg.jpg?buster=1530307300",The table banking app for the last billion,Mar ’17,Hamilton,East Africa,chamapesa.com,1-10,-,-
Optimetriks,https://angel.co/company/optimetriks,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4194422-ea7c3d868feee269c84e310e6bcb9f31-medium_jpg.jpg?buster=1496248438",Data driven FMCG distribution in Africa,May ’17,Paris,Retail,optimetriks.com,11-50,Seed,"$250,000"
Vyura,https://angel.co/company/vyura,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/111047-34ee35656f6401f3e7deabc1499ef744-medium_jpg.jpg?buster=1344337296",Social shopping platform,Aug ’12,Nairobi,Social Commerce,vyura.com,-,-,-
ClikPals,https://angel.co/company/clikpals,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/126140-bc89f93ccca90b5aa19a39a2d50c608b-medium_jpg.jpg?buster=1348759041",Global Social and Business Platform,Sep ’12,Nairobi,Mobile Commerce,clikpals.com,1-10,-,-
iNandi Highland Nest,https://angel.co/company/inandi-highland-nest,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/225184-a4053ac91f6a80ee45f5fa5a9b052f5d-medium_jpg.jpg?buster=1371719321",A high-tech campus for talent tapping,Jun ’13,Nandi Hills,Mobile Commerce,iNandiNest.blogspot.com,1-10,-,-
Eco☆Sawa,https://angel.co/company/eco-sawa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/286916-63c66b6079bfefabcd7f31a5748c124e-medium_jpg.jpg?buster=1383036253",Levers + Fulcrum = Legacy Impact Investing,Jun ’15,Kenya,Supply Chain Management,ecosawa.com,11-50,,"$2,500,000"
neargram,https://angel.co/company/neargram-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/288538-28cb25de70f866180d0254aa98b45ce7-medium_jpg.jpg?buster=1383297470",Location Based Social Travel (FourSquare),Nov ’13,Nairobi,Social Travel,neargram.com,1-10,-,-
Financing the Future,https://angel.co/company/financing-the-future,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/313431-81360e4958369d050d81347d7fa3b883-medium_jpg.jpg?buster=1387836928",Provide Finance to Creditless Markets,Dec ’13,Nairobi,East Africa,Website,1-10,-,-
WayaWaya,https://angel.co/company/wayawaya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/411939-2e6f0bc1b67b07fb1584a5c941b7c93e-medium_jpg.jpg?buster=1455811408","One Account combining your bank, mobile wallet, sacco & payments  anywhere anytime",Jun ’14,Dallas,Mobile Payments,wayawaya.com,1-10,-,-
iAfrikan,https://angel.co/company/iafrikan,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/416302-fdd7ac346a00fbe56b06bba32b62b69e-medium_jpg.jpg?buster=1470519921",,Jun ’14,Nairobi,Digital Publishing,iafrikan.com,11-50,-,-
Growing Together - Kenya,https://angel.co/company/growing-together-kenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/445315-2a4dd370066671f6299f30a0503273db-medium_jpg.jpg?buster=1406227795",Green Steps New Scapes,Jul ’14,Kisumu,Construction,growingtogether.today,,-,-
Nayah,https://angel.co/company/nayah-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/481443-a934f8726b4b48aadfa243a264f86830-medium_jpg.jpg?buster=1409975093",African Premium Personal Care Products,Sep ’14,Nairobi,Application Platforms,naturallynayah.com,,Seed,"$10,000"
Onesha Technologies,https://angel.co/company/onesha,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/546127-56a93f3f37caf8d63cda0f191b4473ff-medium_jpg.jpg?buster=1486232047",Onesha enables businesses get high quality design and branding from top creatives inAfrica,Dec ’14,Nairobi,Web Design,onesha.co.ke,1-10,Seed,"$23,000"
Chambers Federation,https://angel.co/company/chambers-federation,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/561662-ee09fab07fdd64e1f839842b8a3c0cec-medium_jpg.jpg?buster=1507963177","We create and invest into profitable, disruptive business models.",Jan ’15,Bukavu,Supply Chain Management,chambersfederation.com,11-50,-,-
Live Funerals,https://angel.co/company/live-funerals,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/683232-e7ecbbe8c9aeb7b13f2e6c401f6a6efa-medium_jpg.jpg?buster=1430245898",teh start up with a global marketing pofile mloks for venture finding,Apr ’15,Nairobi,-,livefunerals.com,-,-,-
UKDUKAS,https://angel.co/company/ukdukas,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/816459-e89c763fc92412f5579fa51853628243-medium_jpg.jpg?buster=1445115764",UKstores to Shoppers in Africa,Oct ’15,London,Emerging Markets,ukdukas.co.uk,1-10,-,-
Wasoko.com,https://angel.co/company/wasoko-com,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1185487-59cd032424c6b92b128320c45f374e81-medium_jpg.jpg?buster=1465902849",Peer2peer logistics platform  for food,Jun ’16,Copenhagen,Food Tech,wasoko.com,,-,-
Orion Buy More,https://angel.co/company/orion-buy-more,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1285187-890d5e8f9618976b27631ad39f67a0df-medium_jpg.jpg?buster=1467405681","We are building Amazon for Africa, Orion Buy More will be offering redeemable point",Jul ’16,Nairobi,Energy Efficiency,shop.theorion.co.ke,,-,-
Eselle Group,https://angel.co/company/eselle-coaching-and-consulting,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/2833573-b3c73d39a29528f7c891892c3a8f2514-medium_jpg.jpg?buster=1481735194",Strategize. Organize. Execute,Oct ’16,Nairobi,-,esellegroup.com,1-10,-,-
Kulisha,https://angel.co/company/kulisha,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3060437-b76f4ff0c084f3bc5e2e45dd9cc02bc6-medium_jpg.jpg?buster=1478649285",System for alternative protein,Nov ’16,Nairobi,Technology,kulishafeed.com,-,-,-
Pezesha,https://angel.co/company/pezesha-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4080406-1da3c929f46a0947b8e217a1fd9e7bb8-medium_jpg.jpg?buster=1493640705",Peer to Peer Lending marketplace for low income borrowers in Africa,May ’17,Nairobi County,Finance Technology,pezesha.com,-,-,-
M-Lesson,https://angel.co/company/m-lesson,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4130827-bbe681c434606b9abcff49647f17e2f1-medium_jpg.jpg?buster=1494790108",SMS Assessment Service,May ’17,Nairobi,Edtech,m-lesson.com,-,-,-
FIGHT FOR CURE ORGANIZATION,https://angel.co/company/fight-for-cure-organization,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/327195-09b0f1ca2e12fe19f30a2a8cbce2e9cb-medium_jpg.jpg?buster=1390310698",HEALTH,Jan ’14,Mombasa,Fitness,fightforcure-ke.kbo.co.ke,1-10,-,-
Bix Kenya,https://angel.co/company/bix-kenya-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/348706-fa090c93810af2d67b459ed710965ecd-medium_jpg.jpg?buster=1393231491",Social Market Place for Services,Feb ’14,Nairobi,Moneymaking,bix.co.ke,1-10,-,-
Wallet Abroad,https://angel.co/company/wallet-abroad,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/502543-76f6b3363ed9e4ec611401b61392d40b-medium_jpg.jpg?buster=1412418931",Your Abroad Financial Partner,Oct ’14,Nairobi,Mobile Commerce,walletabroad.com,1-10,-,-
