JobTitle,Description,Company,Job Link,Industry,Employment Type,Location,Compensation,Date posted
Software Engineer," Our client based in Cape Town is looking for an experienced Software Engineer to join their development team. The ideal candidate will be vibrant, outgoing and passionate about technology. You will need a hunger for learning and knowledge sharing.  Mai...",Mass Staffing Projects,https://www.careers24.com/jobs/adverts/1626454-software-engineer-cape-town/?jobindex=20,"IT, General",Permanent,Cape Town,R45 000.00 - R68 000.00 Per Month,2019-11-11
Junior Graphic Designer, A well-established international software house is seeking to employ a Junior Graphic Designer needed for a 3-month contact. ,Communicate Cape Town IT,https://www.careers24.com/jobs/adverts/1626988-junior-graphic-designer-cape-town/?jobindex=21,IT,Permanent,Cape Town,Market Related,2019-11-11
Systems Security Engineer (Contracting), IT Contracting Opportunity in China â Now you will not only travel but you can also work abroad.,Network Finance 3,https://www.careers24.com/jobs/adverts/1626584-systems-security-engineer-contracting-china/?jobindex=22,IT,Permanent,China,Market Related,2019-11-11
 Business Analyst (Contracting) , What we see is the empowerment of the Business Analyst,Network Finance 3,https://www.careers24.com/jobs/adverts/1626586-business-analyst-contracting-johannesburg/?jobindex=23,IT,Permanent,Johannesburg,R80 000.00 - R88 000.00 Per Month,2019-11-11
UI/UX Designer (contracting) , People ignore designs that ignore people.,Network Finance 3,https://www.careers24.com/jobs/adverts/1626587-ui-ux-designer-contracting-johannesburg/?jobindex=24,IT,Permanent,Johannesburg,R44 960.00 - R49 920.00 Per Month,2019-11-11
JUNIOR TESTER (ROSEBANK), An internationally recognized company dealing with information technology within the online gambling industry in Rosebank has a vacancy for a Junior Tester to join their energetic team,MPRTC Recruitment,https://www.careers24.com/jobs/adverts/1608437-junior-tester-rosebank-johannesburg/?jobindex=25,IT,Permanent,Johannesburg,Market Related,2019-11-11
COMPLIANCE AUDITOR (ROSEBANK), Compliance Auditor -Rosebank - Previous IT Auditing experience at an International Auditing Firm.,MPRTC Recruitment,https://www.careers24.com/jobs/adverts/1607684-compliance-auditor-rosebank-gauteng/?jobindex=26,IT,Permanent,Gauteng,Market Related,2019-11-11
Technical Software Manager," An exciting career opportunity exists in Rosebank, Gauteng for a Technical Software Manager within a Digital Communications/IT environment. If you have the following behavioural competency and experience, we look forward to receiving your application.",Intelligent Placement,https://www.careers24.com/jobs/adverts/1626640-technical-software-manager-rosebank/?jobindex=27,IT,Permanent,Rosebank,R600 000.00 - R960 000.00 Per Month,2019-11-11
Recruitment Consultant," Calling all tech-savvy and superstar IT recruiters! Network IT requires the expertise of an IT specialist recruitment consultant to join their growing team. The successful candidate will work in a target-driven environment and liaise with high profile clients and candidates. If this job opportunity sounds like the type of break youâve been pining for, apply today! ",AdvTalent,https://www.careers24.com/jobs/adverts/1626956-recruitment-consultant-western-cape/?jobindex=28,IT,Permanent,Western Cape,R12 000.00 - R18 000.00 Per Month,2019-11-11
Full Stack Developer ," More than average leave days, flexi-hours/ remote work options, free lunch yoga/ gym, social events, etc., international travel, endless upskilling opportunities, very competitive salaries, and comprehensive benefits. If this opportunity sounds exciting, click apply below and join a leading and next generation Financial Services organisation.",Communicate Cape Town IT,https://www.careers24.com/jobs/adverts/1626987-full-stack-developer-cape-town/?jobindex=29,IT,Permanent,Cape Town,R41 667.00 - R58 333.00 Per Month,2019-11-11
Business Development Manager (EE/AA) - Cape Town," Exciting new opportunity for a Business Development Manager (EE/AA) in Cape Town, for our client offering technology solutions (IT). ",MPRTC Recruitment,https://www.careers24.com/jobs/adverts/1624854-business-development-manager-ee-aa-cape-town-cape-town/?jobindex=30,IT,Permanent,Cape Town,Market Related,2019-11-11
System Engineer (12 month fixed term contract), Our client delivers Enterprise IT functionality and services to businesses and they are looking for an experience Systems Engineer for a Fixed Term Contract ,Dante Group (Pty) Ltd,https://www.careers24.com/jobs/adverts/1626514-system-engineer-12-month-fixed-term-contract-emalahleni/?jobindex=31,IT,Permanent,eMalahleni,R30 000.00 - R50 000.00 Per Month,2019-11-11
Risk Officer (SSE) (Ref:1708)," Leading SA FMCG Brand is looking for a seasoned Risk Control Officer (good SHEQ knowledge with strong emphasis on Safety, Security and Environmental management) and a demonstrated history of working in a FMCG Environment. ",NDC Personnel & Contractors CC,https://www.careers24.com/jobs/adverts/1626752-risk-officer-sse-ref1708-cape-winelands/?jobindex=32,IT,Permanent,Cape Winelands,Market Related,2019-11-11
Recruitment Consultant," Join a JSE-listed organisation known for their specialist recruitment services in IT, Finance and Engineering for 30 years. Gain a deeper knowledge in one of these sectors and become an industry expert where you can attain financial independence.",AdvTalent,https://www.careers24.com/jobs/adverts/1626957-recruitment-consultant-pretoria-east/?jobindex=33,IT,Permanent,Pretoria East,R12 000.00 - R18 000.00 Per Month,2019-11-11
PHP Developer," Join an International Information Services giant and become an integral part of a team that stands behind life-saving technology. Work in a cloud-based, fast passed environment whilst earning great benefits and flexi hours/ remote work options.",Communicate Cape Town IT,https://www.careers24.com/jobs/adverts/1626984-php-developer-cape-town/?jobindex=34,IT,Permanent,Cape Town,R33 333.00 - R41 667.00 Per Month,2019-11-11
Cloud Data Engineer ," An award-winning digital tycoon, dominating their multinational niche with excellence, is seeking a vibrant, solutions-orientated Cloud Engineer to join their team of professionals. This employer of choice offers free educational courses, barista coffees, relaxed corporate culture, and highly competitive remuneration packages.",Communicate Cape Town IT,https://www.careers24.com/jobs/adverts/1626985-cloud-data-engineer-cape-town/?jobindex=35,IT,Permanent,Cape Town,R40 000.00 - R50 000.00 Per Month,2019-11-11
Intermediate Software Developer (Contracting), Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live. â John F. Woods,Network Finance 3,https://www.careers24.com/jobs/adverts/1626583-intermediate-software-developer-contracting-pretoria/?jobindex=36,IT,Permanent,Pretoria,R32 000.00 - R56 000.00 Per Month,2019-11-11
 C#.Net Developers (Contracting)," âComputer language design is just like a stroll in the park.  Jurassic Park, that is.â (Larry Wall)",Network Finance 3,https://www.careers24.com/jobs/adverts/1626585-c-net-developers-contracting-johannesburg/?jobindex=37,IT,Permanent,Johannesburg,R48 000.00 - R80 000.00 Per Month,2019-11-11
Test Engineer (6-12 Months)," Quality Assurance â Software Development â Agile â Johannesburg â Financial Markets â Automation â Quality Centre â QTP â Load Runner â TFS - SQL
#Network #Recruitment #Careers #TestAnalyst #API #Automated #TestManager #AgileMethodology #JavaDeveloper #DevOpsEngineer
",Network Finance 3,https://www.careers24.com/jobs/adverts/1626588-test-engineer-6-12-months-johannesburg/?jobindex=38,IT,Permanent,Johannesburg,R32 000.00 - R72 000.00 Per Month,2019-11-11
MATHEMATICS OR STATISTICS DATA ANALYST GRADUATE (DURBAN), Data Analyst with IT Auditing experience is required for an International Information Security Management Firm â Durban ,MPRTC Recruitment,https://www.careers24.com/jobs/adverts/1625667-mathematics-or-statistics-data-analyst-graduate-durban-durban/?jobindex=39,IT,Permanent,Durban,Market Related,2019-11-11
Quality Manager (Ref: 1712), A well-known FMCG Organisation based in smaller town in Western Cape is looking to employ a Quality Manager. ,NDC Personnel & Contractors CC,https://www.careers24.com/jobs/adverts/1626908-quality-manager-ref-1712-garden-route/?jobindex=40,IT,Permanent,Garden Route,Market Related,2019-11-11
Citrix Administrator," A company based in Johannesburg is looking for a Citrix Administrator, self-driven individual who has experience and is eager to continue learning and be a part of our dedicated Citrix team. position where they will be given the opportunity to achieve growth in product and service knowledge with the backing of a professional team with many years of valuable industry experience. ",ManpowerGroup South Africa,https://www.careers24.com/jobs/adverts/1626704-citrix-administrator-johannesburg/?jobindex=41,IT,Permanent,Johannesburg,R550 000.00 - R600 000.00 Per Month,2019-11-11
Account Service Manager," EE. With a Global Footprint and Headquarters in France, the Southern and East Africa Region is ready to expand. As the Account Service Manager you will be responsible for managing the day to day sales relationship with customers, bringing together the ...",Adcorp,https://www.careers24.com/jobs/adverts/1626426-account-service-manager-gauteng/?jobindex=42,IT,Permanent,Gauteng,R83 333.00 - R100 000.00 Per Month,2019-11-10
BI Developer," Are you ready to take your BI Development career to the next level and be part of one of the biggest FMCG groups out there? Then we need to talk. Your 5-7 Years' + Exposure in optimizing, improving and analysing business processes within a reporting en...",Adcorp,https://www.careers24.com/jobs/adverts/1626425-bi-developer-gauteng/?jobindex=43,IT,Permanent,Gauteng,R41 667.00 - R72 500.00 Per Month,2019-11-10
Product Support Specilaist (Software Dev)," Have you ever been fascinated by a career where IT meets Engineering? Then look no further, As a Technical Product Support Specialist you will develop, maintain as well as create and modify functionality, provide high level support, perform quality con...",Adcorp,https://www.careers24.com/jobs/adverts/1626424-product-support-specilaist-software-dev-gauteng/?jobindex=44,IT,Permanent,Gauteng,R50 000.00 - R70 833.00 Per Month,2019-11-10
Software Developer," .NET Developer - up to R 960 000 pa based in Woodstock  Reports To:Development Team Lead  Description  Your role as a software developer is to define, develop, test, analyze, and maintain software applications in support of the achievement of business ...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626418-software-developer-cape-town/?jobindex=45,IT,Permanent,Cape Town,R66 667.00 - R80 000.00 Per Month,2019-11-10
Senior C#/Python Developer," Senior Software Developer - R 70 000  A multi-award winning organisation, currently expanding their Cape Town office, is looking for a senior software developer to join their goal driven team.   They work with some of the top projects and clients acros...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626415-senior-c-python-developer-cape-town/?jobindex=46,IT,Permanent,Cape Town,R60 000.00 - R70 000.00 Per Month,2019-11-10
Dynamics AX 365 Developer - Malta, Dynamics AX 365 Developer   Role: Dynamics AX 365 Developer   Location: Malta  Consultant: Liana Robson  Contact details: l.robson2@nigelfrank.com     I am currently searching for an experienced Dynamics AX 365 developer for a Microsoft Partner in Malt...,Nigel Frank International,https://www.careers24.com/jobs/adverts/1626406-dynamics-ax-365-developer-malta-malta/?jobindex=47,IT,Permanent,Malta,R34 172.00 - R61 509.00 Per Month,2019-11-09
Software Developer - Muizenburg, Software Engineer - Muizenburg  Looking for a challenging opportunity but not interested in a corporate environment? This opportunity offers you a challenge within a small team with hands-on support from senior developers and sees you enjoy a flat comp...,Nigel Frank International,https://www.careers24.com/jobs/adverts/1626405-software-developer-muizenburg-cape-town/?jobindex=48,IT,Permanent,Cape Town,R40 000.00 - R45 000.00 Per Month,2019-11-09
Sage Consultant and IT Systems Project Manager, The incumbent would be responsible for managing a number of system implementations within the organisation. This would include the current upgrade of our existing Sage X3 ERP and HCM from v9 to v12 as well as other IT-related implementation projects. T...,Insphired Recruitment Solutions,https://www.careers24.com/jobs/adverts/1626404-sage-consultant-and-it-systems-project-manager-east-rand/?jobindex=49,IT,Contract,East Rand,R50 000.00 - R54 167.00 Per Month,2019-11-09
Lead Software Developer (.NET)," Lead Software Developer - up to R 80 000  New opportunity for a skilled senior .NET Developer to take the next step in his/her career and join a growing retail/property management company based in beautiful Cape Town!  You'll be joining a small, but gr...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626402-lead-software-developer-net-cape-town/?jobindex=50,IT,Permanent,Cape Town,R70 000.00 - R80 000.00 Per Month,2019-11-09
Mobile Developer (Sandton)," Job Type: Mobile Developer  Location: Sandton  Contact name: Liam Burrell  Telephone: +27 87 237 9834  Salary: Up to R720,000 per annum  This is an exciting new client who are recruiting for Mobile Developers to work on exciting new projects for some l...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626387-mobile-developer-sandton-sandton/?jobindex=51,IT,Permanent,Sandton,R50 000.00 - R60 000.00 Per Month,2019-11-08
Full-Stack .NET Developer, Software Engineer - Muizenburg  Looking for a challenging opportunity but not interested in a corporate environment? This opportunity offers you a challenge within a small team with hands-on support from senior developers and sees you enjoy a flat comp...,Nigel Frank International,https://www.careers24.com/jobs/adverts/1626386-full-stack-net-developer-cape-town/?jobindex=52,IT,Permanent,Cape Town,R50 000.00 - R58 000.00 Per Month,2019-11-08
Mobile iOS Developer," Job Title - iOS Developer (Native)   Job Type - Permanent & Full Time  Salary - Up to R720,000 & Benefits (Negotiable dependent on experience)  Start Date - ASAP     The Opportunity  We are based in the lovely Midrand and accessible easily, looking for...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626384-mobile-ios-developer-midrand/?jobindex=53,IT,Permanent,Midrand,R35 000.00 - R60 000.00 Per Month,2019-11-08
C# Developer with Winforms," C# Winforms Developer   Cape Town  Tayla Allan  t.allan@nigelfrank.com     My client, in the South African and International industry, is looking for a strong C# Winforms Developer to join their well established team, who will soon be moving over to th...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626383-c-developer-with-winforms-cape-town/?jobindex=54,IT,Permanent,Cape Town,R2 500.00 - R6 250.00 Per Month,2019-11-08
Senior Azure BI Developer - Cape Town (Occasional US Travel)," My client, a division of a global leader in Analytics consulting, are currently in the process of launching large scale, USA based projects centred around MS Azure placements.  The role would see you work as part of a Johannesburg based, in house Busin...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626381-senior-azure-bi-developer-cape-town-occasional-us-travel-johannesburg-south/?jobindex=55,IT,Permanent,Johannesburg South,R50 000.00 - R80 000.00 Per Month,2019-11-08
Software Engineer - Rondebosch," Role: Software Engineer  Location: Rondebosch  Salary: Up to R45,000     My client in Rondebosch are looking for a passionate developer looking to grow their career and be part of a result-driven and dynamic team.   Role & Responsibilities   *  Contrib...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626380-software-engineer-rondebosch-south-africa/?jobindex=56,IT,Permanent,South Africa,R40 000.00 - R45 000.00 Per Month,2019-11-08
Account Manager/Consultant (ERP  Systems),"              Working with ERP systems: SAP, Pastel Evo, AccPac etc.   Strong understanding of a manufacturing process (Bill of Materials, Costings, Stock Control)   Dealing with customers            Support Existing Client Base (JHB & KZN clients):  ...",Kerry Kopp Recruitment Specialists,https://www.careers24.com/jobs/adverts/1626345-account-manager-consultant-erp-systems-durban-northern-suburbs/?jobindex=57,"IT, Consulting",Permanent,Durban Northern Suburbs,Market Related,2019-11-08
IT Internship," Sintrex is passionate about the innovative pursuit of excellence in providing end-to-end IT management and consultative IT services that create reliable, robust and user friendly solutions. Through a culture of excellence, partnership and fun, Sintrex ...",Sintrex Integration Systems,https://www.careers24.com/jobs/adverts/1626306-it-internship-cape-town/?jobindex=58,"IT, Technology, Technical",Internship,Cape Town,Market Related,
Business Intelligence Consultant," Report Writing (Crystal, Microsoft Reporting Services and Other): • Maintaining existing reports and actioning new reports requests • SQL Query writing along with Microsoft Integration Services • Understanding customer requirements for report requests ...",Kerry Kopp Recruitment Specialists,https://www.careers24.com/jobs/adverts/1626300-business-intelligence-consultant-durban-northern-suburbs/?jobindex=59,"IT, Technology, Consulting",Permanent,Durban Northern Suburbs,Market Related,2019-11-08
Software (Systems) Development Facilitator, An award winning tertiary educational provider currently holds a position for a Microsoft Certified Software Developer Facilitator.     Duties & Responsibility:   Facilitating  Marking of tests  Coordinate and supervise practical student projects  Mark...,CTU Training Solutions - Corporate (Pty) Ltd,https://www.careers24.com/jobs/adverts/1626276-software-systems-development-facilitator-cape-town/?jobindex=60,"Education, IT",Contract,Cape Town,R12 000.00 - R16 000.00 Per Month,2019-11-08
"Data Analyst: Telecoms (SQL, CS/PS Core Networks) - 12 Month Contract","  Support CEM (Customer experience management) use case development for marketing campaign purpose, and help operator to improve DOU / MOU and revenue.  DA’s work is mainly work with SA (Service Architect) focus on extract data from Sybase IQ and Hadoop...",Quest Staffing Solutions,https://www.careers24.com/jobs/adverts/1626270-data-analyst-telecoms-sql-cs-ps-core-networks-12-month-contract-sandton/?jobindex=61,"IT, Telecommunications",Temporary,Sandton,Market Related,2019-11-08
Intermediate Business Systems Analyst," Summary of Job:  Envision, plan, design and coordinate the implementation of systems and processes that provide strategically aligned business value to the Education department.  Key Role and Responsibilities:    Technical   Assess business needs utili...",2U,https://www.careers24.com/jobs/adverts/1626235-intermediate-business-systems-analyst-cape-town/?jobindex=62,"Education, IT",Permanent,Cape Town,Market Related,2019-11-08
API Developer - Woodstock," Role: API Developer  Location: Woodstock, CPT  Salary: R30,000 starting salary     My client are a UK based company in Woodstock looking for an API Developer to join their team! Training and development is offered for this position.  Please note: There...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626234-api-developer-woodstock-cape-town/?jobindex=63,IT,Permanent,Cape Town,R30 000.00 - R35 000.00 Per Month,2019-11-08
"PostgreSQL DBA (Melrose Arch, Johannesburg)"," Job Type: PostgreSQL Database Admin  Location: Melrose Arch, Johannesburg  Contact name: Liam Burrell  Telephone: +27 87 237 9834  Salary: Up to R960,000  This company is operates within the online gaming and casino industry at an international level, ...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626231-postgresql-dba-melrose-arch-johannesburg-sandton/?jobindex=64,IT,Permanent,Sandton,R58 333.00 - R80 000.00 Per Month,2019-11-08
Analyst Developer (System Developer)," The South African National Biodiversity Institute (SANBI) requires a motivated individual with proven ability to analyse requirements, design and implement solutions and the documentation of process solutions to support the Biodiversity Information and...",SANBI,https://www.careers24.com/jobs/adverts/1626227-analyst-developer-system-developer-cape-town/?jobindex=65,"Government & Parastatals, IT, Environmental",Permanent,Cape Town,Market Related,2019-11-08
Dev Ops Engineer," ENVIRONMENT:

My client, affiliate of a renowned financial services provider requires an experienced Dev Ops Engineer. Standard company tools are Puppet, Terraform, VaultGCP, AWS, Jenkins, MongoDB, Redshift, Docker and Zabbix. Your main tools would be ...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1626226-dev-ops-engineer-cape-town/?jobindex=66,IT,Permanent,Cape Town,Market Related,2019-11-08
SAP PP Functional Consultant," SAP PP Functional Consultant  Johannesburg  I am currently working with one of the South Africa's largest retailers who are urgently looking to hire an experienced SAP PP Consultant. You will be part of a talented team, a laid- back office environment ...",Nigel Frank International,https://www.careers24.com/jobs/adverts/1626218-sap-pp-functional-consultant-johannesburg-south/?jobindex=67,IT,Permanent,Johannesburg South,R70 000.00 - R80 000.00 Per Month,2019-11-08
Functional Analyst III (Pricing & Promotion)," ENVIRONMENT:

A leading retail giant seeks a dynamic Functional Analyst III (Pricing & Promotion) to join its team. Your core role will be to evaluate the demands of the business owners, transform into an abstract and algorithmic business model and ide...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1626195-functional-analyst-iii-pricing-promotion-cape-town/?jobindex=68,IT,Permanent,Cape Town,Market Related,2019-11-08
".Net Technical Lead, Senior, Cape Town, 1.2mil per annum", Are you a hard-working developer who focuses on beyond the box thinking and prefers flexible working hours with a degree of remote work? A south-after company with an international client base is seeking an intermediate C# Developer to join their team ...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1626191-net-technical-lead-senior-cape-town-12mil-per-annum-cape-town/?jobindex=69,IT,Permanent,Cape Town,R83 333.00 - R100 000.00 Per Month,2019-11-08
Functional Analyst III (Stores)," ENVIRONMENT:

A leading retail giant seeks a dynamic Functional Analyst III (Stores) to join its team. Your core role will be to evaluate the demands of the business owners, transform into an abstract and algorithmic business model and identify the use...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1626189-functional-analyst-iii-stores-cape-town/?jobindex=70,IT,Permanent,Cape Town,Market Related,2019-11-08
Mid Server Engineer," ENVIRONMENT:

If you love working in a fast-changing environment with complexity, then a dynamic tech company wants you as their next Mid Server Engineer. Your core role will be to provide clients with exceptional high-level support. You will need to b...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1626180-mid-server-engineer-cape-town/?jobindex=71,IT,Permanent,Cape Town,Market Related,2019-11-08
Senior Server Engineer," ENVIRONMENT:

If you love working in a fast-changing environment with complexity, then a dynamic tech company wants your expertise as their next Senior Server Engineer. Your core role will be to provide clients with exceptional high-level support. You ...",Datafin Recruitment,https://www.careers24.com/jobs/adverts/1626174-senior-server-engineer-cape-town/?jobindex=72,IT,Permanent,Cape Town,Market Related,2019-11-08
".Net Developer, Intermediate, Rosebank, 780k per annum", Are you a hard-working developer who focuses on beyond the box thinking and prefers flexible working hours with a degree of remote work? A south-after company with an international client base is seeking an intermediate C# Developer to join their team ...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1626171-net-developer-intermediate-rosebank-780k-per-annum-johannesburg/?jobindex=73,IT,Permanent,Johannesburg,R58 333.00 - R65 000.00 Per Month,2019-11-08
".Net Developer, Senior, Cape Town, 780k per annum", Are you a hard-working developer who focuses on beyond the box thinking and prefers flexible working hours with a degree of remote work? A south-after company with an international client base is seeking an intermediate C# Developer to join their team ...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1626164-net-developer-senior-cape-town-780k-per-annum-cape-town/?jobindex=74,IT,Permanent,Cape Town,R58 333.00 - R65 000.00 Per Month,2019-11-08
RPG Developer," TWK Agri has the following vacancy available: RPG Developer within the Corporate Services Division at Piet Retief, Mpumalanga.  Responsibilities and Duties   

Developing new software solutions 
Analytical / Problem solving skills 
IT technical skills ...",IT,https://www.careers24.com/jobs/adverts/1626122-rpg-developer-mpumalanga/?jobindex=75,"Agriculture, IT",Permanent,Mpumalanga,Market Related,2019-11-08
Web Developer," TWK Agri has the following vacancy available: Web Developer within the Corporate Services Division at Piet Retief, Mpumalanga.  Responsibilities and Duties   

Developing new software solutions 
Maintenance on existing software 
User support 
Providing...",IT,https://www.careers24.com/jobs/adverts/1626119-web-developer-mpumalanga/?jobindex=76,"Agriculture, IT",Permanent,Mpumalanga,Market Related,2019-11-08
System Analyst," TWK Agri has the following vacancy available: System Analyst within the Corporate Services Division at Piet Retief, Mpumalanga.  Responsibilities and Duties   

Examine existing IT systems and business models 
Analyse systems requirements 
Undertake pr...",IT,https://www.careers24.com/jobs/adverts/1626113-system-analyst-mpumalanga/?jobindex=77,"Agriculture, IT",Permanent,Mpumalanga,Market Related,2019-11-08
Robotics Process Automation Engineer," A giant in the insurance industry seeks innovative and passionate Robotics Automation engineers to join their ever growing team.

Bachelors degree (or higher qualification) in Engineering, Computer Science, or related field

 RPA Certification with Ui...",Transcend,https://www.careers24.com/jobs/adverts/1626097-robotics-process-automation-engineer-cape-town/?jobindex=78,IT,Permanent,Cape Town,Market Related,2019-11-08
Sybase and Oracle DBA," An insurance industry giant urgently seeks a Sybase Data Administrator

* Matric
* IT-related tertiary qualification (Computer Science or related degree qualification
* Sybase certification beneficial
* Minimum of 3 years working experience in a simila...",Transcend,https://www.careers24.com/jobs/adverts/1626096-sybase-and-oracle-dba-cape-town/?jobindex=79,IT,Permanent,Cape Town,Market Related,2019-11-08
Senior Automation Test Analyst Lead," Introduction:  Reverside is an IT services provider; we are always looking for professional candidates to join our team in Software Testing, providing opportunities to work on exciting projects, within our well established client base.  Description:  A...",Reverside Professional Services,https://www.careers24.com/jobs/adverts/1626018-senior-automation-test-analyst-lead-pretoria-north/?jobindex=80,IT,Contract,Pretoria North,Market Related,2019-11-08
"Angular Developer - .Net or Java Back-end, Mid-Level, R550 000 -R650 000 per annum", Introduction  Anticipate nothing but success and collaboration on innovative projects if you are the selected candidate to join industry changing IT consulting firm.  This Developer’s bliss will provide you with the opportunity to gain exposure in diff...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600859-angular-developer-net-or-java-back-end-mid-level-r550-000-r650-000-per-annum-sandton/?jobindex=81,IT,Contract,Sandton,R45 833.00 - R54 167.00 Per Month,2019-11-08
Senior DevOps Engineer - Johannesburg CBD - R1 million per annum," Job Description  A multi-award winning Financial Services Group is looking to grow their dynamic team of Developers with an experienced Senior DevOps Engineer, as the group grows into 16 countries across Africa and remains the mainstay of South Africa’...",e-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600867-senior-devops-engineer-johannesburg-cbd-r1-million-per-annum-johannesburg-cbd/?jobindex=82,IT,Permanent,Johannesburg CBD,R79 167.00 - R83 333.00 Per Month,2019-11-08
Software Developer – Bruma – C# - R45k/R50k ctc per month," It must suck to drive from the East Rand to Sandton or Bryanston every day. I have to do it & I blame my own poor decision making daily J  If you feel the same, then maybe you should have a look at this one.  It’s a big brand, who have been doing some ...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600875-software-developer-bruma-c-r45k-r50k-ctc-per-month-east-rand/?jobindex=83,IT,Permanent,East Rand,R45 000.00 - R50 000.00 Per Month,2019-11-08
"Java Developer, Intermediate level, Fourways, 600k per annum"," A specialist in the high-volume transaction environment are in search of a technically minded, creative and talented Intermediate Java Software Developer. The candidate will be working with developing web applications and computer systems. Partner with...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600973-java-developer-intermediate-level-fourways-600k-per-annum-sandton/?jobindex=84,IT,Permanent,Sandton,R49 917.00 - R50 000.00 Per Month,2019-11-08
"DevOps Engineer, Mid–Senior, Sandton, R1.2 million per annum"," Job Description  Are you seeking an exciting DevOps Engineer position at a leading FinTech corporation? Do you see yourself working with an awesome team who are always working on cutting edge projects, while growing an already 15year established brand ...",e-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600796-devops-engineer-mid-senior-sandton-r12-million-per-annum-sandton/?jobindex=85,IT,Permanent,Sandton,R91 667.00 - R100 000.00 Per Month,2019-11-08
"Intermediate Full Stack C# Developer - Node, Mid-Level, Sandton, R600 000 -R700 000 per annum", Introduction  A Sandton based Consulting firms known for its trailblazing reputation would like an Intermediate Full C# Developer specialising in Node to join this monstrous company in turning your paper napkins plans into a reality.  Partner up with a...,E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600773-intermediate-full-stack-c-developer-node-mid-level-sandton-r600-000-r700-000-per-annum-sandt/?jobindex=86,IT,Permanent,Sandton,R50 000.00 - R58 333.00 Per Month,2019-11-08
DevOps QA Test Environment Consultant – Sandton - R900k per annum," Job Description  A multi-award winning FinTech Industry Leader is looking to grow their specialist Digitial Platforms team with an experienced DevOps QA Test Environment Consultant, as the group grows into 16 countries across Africa and remains the mai...",e-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600764-devops-qa-test-environment-consultant-sandton-r900k-per-annum-sandton/?jobindex=87,IT,Permanent,Sandton,R70 833.00 - R75 000.00 Per Month,2019-11-08
"DevOps Engineer, Mid-level – Senior, Centurion, R1 million per annum"," Job Description  If you fancy working for an award winning financial services company who invest in their employees, have outstanding values and talented likeminded individuals – get in touch if you’re a Mid-Level to Senior DevOps Engineer to complemen...",e-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600751-devops-engineer-mid-level-senior-centurion-r1-million-per-annum-centurion/?jobindex=88,"IT, Security",Permanent,Centurion,R79 167.00 - R83 333.00 Per Month,2019-11-08
"Intermediate Full Stack C# Developer - Angular, Mid-Level, R600 000 -R700 000 per annum", Introduction   A Sandton based mother of Consulting firms would like an Intermediate Full stack C# Developer specialising in Angular to join this beast in providing practical solutions to various clients.     Partner up with an industry giant and demon...,e- merge IT Recruitment,https://www.careers24.com/jobs/adverts/1600746-intermediate-full-stack-c-developer-angular-mid-level-r600-000-r700-000-per-annum-sandton/?jobindex=89,IT,Contract,Sandton,R50 000.00 - R58 333.00 Per Month,2019-11-08
"Security Architect, Johannesburg, R1.4mill"," Security Architect, Johannesburg, R1.4mill  Africa’s leading stock exchange is looking for a Security Architect to join their highly complex environment. They are looking for a person that is strategic in nature that has pragmatic experience demonstrat...",E-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1601231-security-architect-johannesburg-r14mill-johannesburg/?jobindex=90,IT,Permanent,Johannesburg,R112 500.00 - R116 667.00 Per Month,2019-11-08
DevOps Engineer – Sandton – R900k per annum, Job Description  A leading FinTech Corp is looking for a RHCE DevOps engineer to join their team of developers who are always working on cutting edge projects and getting exposed to the latest technologies. If you are a DevOps guru and this is appealin...,e-Merge IT Recruitment,https://www.careers24.com/jobs/adverts/1601240-devops-engineer-sandton-r900k-per-annum-sandton/?jobindex=91,IT,Permanent,Sandton,R66 667.00 - R75 000.00 Per Month (Negotiable),2019-11-08
